id,name,district_code,abbr,latitude,longitude,pinyin
1,上海,310000,SH,31.230370,121.473701,shanghai
2,杭州,330100,HZ,30.274151,120.155151,hangzhou
3,北京,110000,BJ,39.904690,116.407173,beijing
4,广州,440100,GZ,23.129080,113.264359,guangzhou
5,天津,120000,TJ,39.085098,117.199371,tianjin
6,南京,320100,NJ,31.841780,118.504669,nanjing
7,武汉,420100,WH,30.592760,114.305252,wuhan
8,苏州,320500,SZ,31.298340,120.583191,suzhou
9,福州,350100,FZ,26.074209,119.296471,fuzhou
10,哈尔滨,230100,HEB,45.802158,126.535797,haerbin
11,深圳,440300,SZ,22.542860,114.059563,shenzhen
12,长春,220100,CC,43.816021,125.323570,changchun
13,厦门,350200,XM,24.479509,118.089478,xiamen
14,成都,510100,CD,30.570200,104.064758,chengdu
15,西安,610100,XA,34.341270,108.939842,xian
16,沈阳,210100,SY,41.805630,123.432358,shenyang
17,合肥,340100,HF,31.820570,117.229012,hefei
18,宁波,330200,NB,29.873859,121.550270,ningbo
19,济南,370100,JN,36.665291,116.994926,jinan
20,大连,210200,DL,38.913689,121.614761,dalian
21,长沙,430100,CS,28.227779,112.938858,changsha
22,扬州,321000,YZ,32.393581,119.412689,yangzhou
23,昆明,530100,KM,24.879660,102.833221,kunming
24,佛山,440600,FS,23.021851,113.121918,foshan
25,南昌,360100,NC,28.682020,115.857941,nanchang
26,珠海,440400,ZH,22.270729,113.576683,zhuhai
27,镇江,321100,ZJ,32.189590,119.425003,zhenjiang
28,青岛,370200,QD,36.066231,120.382988,qingdao
29,徐州,320300,XZ,34.204399,117.285767,xuzhou
30,温州,330300,WZ,27.994921,120.699387,wenzhou
31,石家庄,130100,SJZ,38.042759,114.514297,shijiazhuang
32,郑州,410100,ZZ,34.747250,113.624931,zhengzhou
34,威海,371000,WH,37.513481,122.121712,weihai
35,无锡,320200,WX,31.490990,120.312370,wuxi
38,芜湖,340200,WH,31.352461,118.433128,wuhu
39,南通,320600,NT,31.979580,120.893707,nantong
40,廊坊,131000,LF,39.021770,116.756378,langfang
41,兰州,620100,LZ,36.196220,103.125000,lanzhou
42,湘潭,430300,XT,27.829750,112.944107,xiangtan
43,太原,140100,TY,37.870590,112.550667,taiyuan
44,重庆,500000,CQ,29.564711,106.550728,chongqing
45,南宁,450100,NN,22.816730,108.366898,nanning
47,济宁,370800,JN,35.414589,116.587242,jining
48,潍坊,370700,WF,36.706860,119.161758,weifang
49,景德镇,360200,JDZ,29.268690,117.178391,jingdezhen
50,淄博,370300,ZB,36.813099,118.054802,zibo
51,东莞,441999,DG,23.020691,113.751808,dongguan
52,台州,331000,TZ,28.656111,121.420563,taizhou
53,淮南,340400,HN,32.625488,116.999802,huainan
54,枣庄,370400,ZZ,34.810711,117.321960,zaozhuang
55,嘉兴,330400,JX,30.745010,120.755501,jiaxing
56,梅州,441400,MZ,24.288441,116.122643,meizhou
57,惠州,441300,HZ,23.110750,114.416786,huizhou
58,日照,371100,RZ,35.416458,119.527191,rizhao
59,常州,320400,CZ,31.810720,119.973648,changzhou
60,临沂,371300,LY,35.104649,118.356461,linyi
61,湖州,330500,HZ,30.893049,120.088051,huzhou
62,海口,460100,HK,20.044220,110.199890,haikou
63,秦皇岛,130300,QHD,39.935452,119.599640,qinhuangdao
64,肇庆,441200,ZQ,23.046900,112.465279,zhaoqing
65,铜陵,340700,TL,30.908871,117.742203,tongling
66,九江,360400,JJ,29.705481,116.001457,jiujiang
67,金华,330700,JH,29.078119,119.647591,jinhua
68,包头,150200,BT,40.657810,109.840210,baotou
69,绍兴,330600,SX,30.030331,120.580200,shaoxing
70,安庆,340800,AQ,30.542940,117.063538,anqing
71,盐城,320900,YC,33.349510,120.161636,yancheng
72,韶关,440200,SG,24.810390,113.597229,shaoguan
73,丽水,331100,LS,28.467199,119.922928,lishui
74,泰安,370900,TA,36.199940,117.088402,taian
75,蚌埠,340300,BB,32.915482,117.389320,bengbu
76,新乡,410700,XX,35.303230,113.926750,xinxiang
77,烟台,370600,YT,37.463531,121.448013,yantai
79,湛江,440800,ZJ,21.271339,110.358940,zhanjiang
80,宜昌,420500,YC,30.691860,111.286423,yichang
81,柳州,450200,LZ,24.325430,109.415520,liuzhou
82,绵阳,510700,MY,31.467510,104.679604,mianyang
83,滁州,341100,CZ,32.301811,118.316833,chuzhou
84,聊城,371500,LC,36.457020,115.985489,liaocheng
85,六安,341500,LA,31.734880,116.523239,luan
86,大庆,230600,DQ,46.587582,125.103073,daqing
87,唐山,130200,TS,39.630482,118.180580,tangshan
88,佳木斯,230800,JMS,46.800190,130.320602,jiamusi
89,连云港,320700,LYG,34.596691,119.222954,lianyungang
90,马鞍山,340500,MAS,31.670670,118.506111,maanshan
91,齐齐哈尔,230200,QQHE,47.354309,123.917961,qiqihaer
92,呼和浩特,150100,HHHT,40.841492,111.751991,huhehaote
93,泰州,321200,TZ,32.455460,119.925537,taizhou
94,洛阳,410300,LY,34.618118,112.453613,luoyang
95,保定,130600,BD,38.873959,115.464592,baoding
96,鞍山,210300,AS,41.107769,122.994598,anshan
97,上饶,361100,SR,28.454630,117.943573,shangrao
98,桂林,450300,GL,25.273609,110.290024,guilin
99,南充,511300,NC,30.837311,106.110733,nanchong
100,荆州,421000,JZ,30.334789,112.240692,jingzhou
101,吉林,220200,JL,43.837841,126.549438,jilin
102,泉州,350500,QZ,24.873890,118.675873,quanzhou
103,宜宾,511500,YB,28.751301,104.641701,yibin
104,内江,511000,NJ,29.580151,105.058441,neijiang
105,自贡,510300,ZG,29.339199,104.778442,zigong
106,泸州,510500,LZ,28.871700,105.442574,luzhou
108,抚顺,210400,FS,41.879711,123.957222,fushun
110,锦州,210700,JZ,41.095150,121.127029,jinzhou
111,漳州,350600,ZZ,24.513470,117.647247,zhangzhou
113,泰兴,321283,TX,32.171909,120.052002,taixing
114,淮安,320800,HA,33.610161,119.015953,huaian
115,咸阳,610400,XY,34.329319,108.709290,xianyang
116,衡阳,430400,HY,26.893240,112.571953,hengyang
117,南平,350700,NP,26.641520,118.177834,nanping
118,阜新,210900,FX,42.021660,121.670113,fuxin
119,益阳,430900,YY,28.553909,112.355164,yiyang
120,常德,430700,CD,29.031580,111.698540,changde
123,茂名,440900,MM,21.663290,110.925232,maoming
124,岳阳,430600,YY,29.357281,113.129189,yueyang
126,株洲,430200,ZZ,27.827669,113.133957,zhuzhou
127,新余,360500,XY,27.817760,114.917130,xinyu
128,宜春,360900,YC,27.814430,114.416122,yichun
129,赣州,360700,GZ,25.831091,114.934761,ganzhou
130,江门,440700,JM,22.578650,113.081612,jiangmen
131,德阳,510600,DY,31.126789,104.397903,deyang
132,东营,370500,DY,37.433651,118.674660,dongying
133,怀化,431200,HH,27.569740,110.001602,huaihua
134,滨州,371600,BZ,37.382111,117.972794,binzhou
135,宿州,341300,SZ,33.646141,116.963913,suzhou
136,毕节,520500,BJ,27.298470,105.305038,bijie
137,贵阳,520100,GY,26.647020,106.630241,guiyang
138,牡丹江,231000,MDJ,44.552689,129.632446,mudanjiang
139,乐山,511100,LS,29.552210,103.765388,leshan
140,凯里,522601,KL,26.567560,107.980400,kaili
143,娄底,431300,LD,27.697281,111.994583,loudi
144,焦作,410800,JZ,35.215630,113.242012,jiaozuo
145,丹东,210600,DD,39.999802,124.356010,dandong
150,萍乡,360300,PX,27.622890,113.854271,pingxiang
151,荆门,420800,JM,31.035460,112.199448,jingmen
152,黄石,420200,HS,30.199530,115.038902,huangshi
153,晋中,140700,JZ,37.687019,112.752777,jinzhong
154,张家口,130700,ZJK,40.824440,114.887550,zhangjiakou
155,丽江,530700,LJ,26.856480,100.227097,lijiang
156,百色,451000,BS,23.902161,106.618378,baise
157,钦州,450700,QZ,21.979700,108.654312,qinzhou
165,三亚,460200,SY,18.252480,109.512093,sanya
166,运城,140800,YC,35.026279,111.006989,yuncheng
167,延边,222400,YBZXZZZZ,42.891190,129.509094,yan bian
168,临汾,141000,LF,36.088219,111.519623,linfen
169,大同,140200,DT,40.076370,113.300011,datong
170,邯郸,130400,HD,36.625561,114.539177,handan
171,四平,220300,SP,43.166458,124.350357,siping
172,承德,130800,CD,40.951500,117.963402,chengde
173,邵阳,430500,SY,27.238899,111.467697,shaoyang
174,大理,532901,DL,25.591579,100.229759,dali
175,沧州,130900,CZ,38.304409,116.838692,cangzhou
176,永州,431100,YZ,26.420340,111.612251,yongzhou
177,菏泽,371700,HZ,35.233631,115.481148,heze
178,郴州,431000,CZ,25.770630,113.014847,chenzhou
179,邢台,130500,XT,37.070549,114.504433,xingtai
180,莆田,350300,PT,25.454000,119.007713,putian
181,龙岩,350800,LY,25.075041,117.017220,longyan
182,衢州,330800,QZ,28.935921,118.874191,quzhou
183,开封,410200,KF,34.797260,114.307312,kaifeng
184,鄂州,420700,EZ,30.390850,114.894951,ezhou
191,义乌,330782,YW,29.305580,120.074677,yiwu
194,银川,640100,YC,38.486439,106.232483,yinchuan
195,阜阳,341200,FY,32.889629,115.814949,fuyang
